NAME,SENTENCE,IN_O,IN_O,OUT_O,NON
1,여론이란 사람을 아주 불쾌하게 만드는 폭군이다,여론,불쾌,폭군,유람선
2,담배를 끊는 것이 남편이 해주길 바라는 소망이다,담배,남편,소망,도끼
3,나는 아빠의 고함 소리가 귀에 거슬려서 슬그머니 도망쳤다,고함,귀,도망,문화재
4,나는 이 안건에 찬성하지만 비판할 권리도 인정한다,안건,비판,인정,권위
5,어려울 때 위안을 주던 그를 졸업 후엔 볼 수 없다는 것은 고통이다,위안,졸업,고통,발자국
6,필기는 정확한 인간을 만들며 충실한 인간을 만드는 것은 독서이다,필기,인간,독서,한복
7,조금만 아파도 병원을 가는 것은 걱정이 많은 그가 가진 버릇이다,병원,걱정,버릇,양초
8,독선적인 사람이 부모가 강요하는 대로 따른다는 건 드문 일이다,독선적,강요,일,설거지
9,이번 겨울에 부모님께 드리려고 내가 준비한 것은 털실로 짠 목도리다,겨울,준비,목도리,성당
10,오빠가 엄마가 만드신 반찬을 먹고는 맛없다고 불평했다,오빠,반찬,불평,강아지
11,노년시절에 자주 들여다보며 미소 짓게 하는 것은 낡은 앨범이다,노년,미소,앨범,분쟁
12,추석 때 손님들이 가장 많이 갖고 오신 선물은 과일이다,추석,손님,과일,벽화
13,수년간 공부했지만 언어가 내가 유학하는데 가장 큰 걸림돌이다,언어,유학,걸림돌,힘
14,이 반지는 군대에 간 그를 잊지 않겠다는 무언의 다짐이다,반지,무언,다짐,라임
15,사자가 고생하며 돌아다닌 끝에 사냥에 성공한 것 토끼이다,사자,사냥,토끼,밥상
16,어떤 역경에서도 버리지 않고 보존해야 하는 것은 양심이다,역경,보존,양심,장마
17,자신이 궁하더라도 남보다 형편이 낫다면 남을 돕는 것이 좋은 태도이다,형편,남,태도,불꽃
18,운동장에서 놀던 아이들이 맹인이 넘어지자 놀려대며 소리쳤다,운동장,맹인,소리,눈치
19,머리위에 얹혀져있는 저 바가지 같은 것이 그녀가 새로 산 모자이다,바가지,바가지,모자,소음
20,미국이 영국이 사려던 군함을 사려고 한 것이 화근이다,영국,군함,화근,속옷
21,잔돈을 두고 싸우는 손님과 상인의 모습이 바로 소시민들의 생활이다,상인,모습,생활,도로
22,무기에는 여러 가지가 있지만 현대에 가장 무서운 것은 핵폭탄이다,무기,현대,핵폭탄,양식
23,명절이 다가오면 사람들이 떠올리는 건 추억이 깃든 고향이다,명절,추억,고향,별똥별
24,재판관은 폐렴에 걸린 농부를 불쌍히 여겨서 석방을 허락했다,폐렴,농부,허락,북극
25,운동을 시작한 이래로 늘 경쟁해온 그 애는 나의 라이벌이다,운동,경쟁,라이벌,손톱
26,과거 사람들이 쓰던 낡은 가구들은 우리에겐 소중한 보물이다,과거,가구,보물,위성
27,예물로 고른 것은 화려하게 장식되었지만 실용적이지 못한 시계이다,예물,장식,시계,축제
28,귀가 후 남편이 아내를 위해 반드시 해야 하는 일은 설거지다,귀가,남편,설거지,할머니
29,우리 이모는 수학을 가르치다가 그만두신 분과 결혼했다,이모,수학,겨혼,양식
30,지난겨울 사진사가 주로 촬영한 것은 멋있는 설경이다,겨울,촬영,설경,놀이터
31,하루가 다르게 자라는 아동에게 필요한 칼슘의 주공급원은 우유이다,아동,칼슘,우유,등
32,사람들과 어울리기 좋아하는 친구가 가장 싫어하는 것은 고독이다,사람,가장,고독,역사
33,내가 학원에 가던 길에 만난 동창이 가던 곳은 서점이다,학원,동창,서점,질병
34,사전을 찾는 것도 귀찮아서 영어공부를 안한다는 것이 그의 설명이다,사전,영어,설명,양반
35,항상 날 괴롭히는 건 영원을 약속했던 그녀의 배신이다,영원,약속,배신,라면
36,성경을 줄줄외워대는 저 소년은 정말 보기 드문 천재이다,성경,소년,천재,보호
