NAME,SENTENCE,IN_O,IN_O,OUT_S,NON
1,절망에 빠졌던 나에게 힘을 준 것은 그가 내게 보낸 메신져이다,절망,힘,메신져,문제
2,해돋이를 볼 수 있는 숙소를 찾을 때 사용한 것은 야놀자이다,해돋이,숙소,야놀자,필통
3,음식 사진을 가장 맛있게 찍을 수 있는 최적의 도구는 카메라삼육공이다,도구,최적,카메라360,분노
4,그가 자신의 취업을 나에게 알린 방법은 페이스북메신져이다,그,방법,페이스북메신져,보라
5,갑작스런 출장으로 숙소를 정하지 못한 나에게 동료가 권한 것은 여기어때이다,출장,동료,여기어때,자물쇠
6,우수한 점수를 받은 과제를 준비하는데 있어 일등공신은 구글이다,점수,과제,구글,제시
7,저녁을 준비하기 싫은 그녀를 돕기 위해 그가 생각해낸 것은 배달통이다,생각,생각,배달통,장학금
8,어머니 생신일에 분위기를 살릴 수 있는 장소를 알려준 것은 다이닝코드이다,생신,장소,다이닝코드,성공
9,옆집에 사는 꼬마가 매일 아침 현관문에서 보고 있는 것은 다음웹툰이다,꼬마,현관문,다음 웹툰,연구
10,직장을 알아보는 그가 필요한 정보를 수집하는 곳은 잡플레닛이다,직장,필요,잡플레닛,후배
11,학교에서 오래 시간을 보낼 때 시간을 빨리가게 만들어주는 것은 빙글이다,학교,시간,빙글,바둑
12,내가 혼자 다녀도 자신있는 이유는 어디서나 사용 가능한 구글맵이다,혼자,자신,구글맵,형사
13,주말도 없이 일하는 그가 영화 정보를 확인하는 방법은 와챠이다,주말,정보,와챠,이야기
14,할로윈 준비물을 살 때 택한 것은 저렴한 복장을 파는 쿠팡이다,준비물,저렴,쿠팡,대나무
15,시험이 얼마남지 않았음에도 그가 공부에 집중하지 않는 원인은 트위터이다,시험,집중,트위터,자료
16,책상을 정리하던 중 필요한 물건을 살 때 사용한 것은 토스이다,책상,물건,토스,빨대
17,유명인들이 대중들에게 자신의 사생활을 보여주는 방법 중 하나가 텀블러이다,대중,사생활,텀블러,제안
18,그녀가 거짓된 소문을 만들어 올리는 곳은 네이버가페이다,거짓,소문,네이버카페,연금
19,커피를 마시며 점심에 먹을 메뉴를 고민하는 중 생각난 것은 맥딜리버리이다,커피,고민,맥딜리버리,증명
20,초등학교 동창의 연락처를 우연히 본 곳은 이음이다,동창,우연,이음,무궁화
21,침대를 바꾸려는 그에게 추천해준 것은 믿을 수 있는 셀잇이다,침대,추천,셀잇,창문
22,지방에서 온 그가 서울에 갈 때 사용한 것은 티맵이다,지방,사용,티맵,옷걸이
23,외출하지 않고 집에 있는 내가 하는 유일한 소통의 도구는 카카오스토리이다,외출,소통,카카오스토리,사고
24,이별 후 쓸쓸한 내 마음을 위로 해 준 것은 지니뮤직이다,이별,마음,지니(뮤직),테니스
25,모르는 번호의 주인을 찾을 때 친구가 알려준 것은 후후였다,주인,친구,후후,실패
26,정치와 관련된 기사를 읽기 위해 내가 보고 있는 것은 네이트이다,정치,기사,네이트,상황
27,속을 알 수 없는 그녀의 속마음을 알게 해준 것은 텔레그램이였다,그녀,속마음,텔레그램,고무줄
28,이것은 나에게 꼭 맞는 식단만 소개되어 있는 네이버블로그이다,식단,소개,네이버 블로그,전문가
29,일찍 일어난 동생이 밥도 먹지 않고 한 것은 쿠키런이다,일찍,동생,쿠키런,충돌
30,아버지가 낚시를 다녀온 후 잡은 고기를 올리는 곳은 다음카페이다,낚시,고기,다음 카페,빛깔
31,헤어진 연인의 사진을 지우지 못하고 저장하고 있는 곳은 싸이월드이다,연인,저장,싸이월드,존재
32,월급이 들어오는 날 가장 먼저 돈을 쓰는 곳은 폰테마샵이다,월급,돈,폰테마샵,배신
33,취업 준비로 힘든 그가 웃으며 집중하고 있는 것은 아프리가TV이다,취업,집중,아프리카TV,실험
34,사촌에게 줄 돌 선물을 고를 때 이용한 것은 쇼킹딜이다,사촌,돌,쇼킹딜,입수
35,아무런 약속이 없는 주말 나를 웃게 한 것은 친구들의 틱톡이다,약속,주말,틱톡,의견
36,졸업식 선물으로 동생에게 주고 싶었던 빨간 목도리를 산 곳은 쿠차이다,졸업,목도리,쿠차,횡포
