NAME,SENTENCE,IN_S,IN_O,OUT_S,NON
1,면접을 전 불안을 낮추기 위해 내가 하는 것은 네이버웹툰과 캔디크러쉬이다 ,캔디 크러쉬,불안,네이버웹툰,립스틱
2,직방을 통해 찾은 집에 어울리는 가구를 찾은 곳은 11번가였다,직방,가구,번가,낙엽
3,셀잇에서 산 자전거를 보다 저렴한 가격으로 팔고 있는 곳은 쿠팡이였다,셀잇,가격,쿠팡,항공
4,높은 점수를 획득하고 있던 쿠키런의 흐름을 깬 껏은 친구의 틱톡이였다,틱톡,흐름,쿠키런,제출
5,배달통에서 시킨 음식을 기다리는 시간이 따분했던 그녀가 사용한 것은 지니뮤직이다,배달통,시간,지니뮤직,자동차
6,텔레그램에서 이야기했던 약속장소를 찾지 못한 친구에게 권한 것은 티맵이다,텔레그램,약속,티맵,고객
7,다방을 통해 만났던 집주인의 번호를 찾기 위해 필요한 것은 후즈콜이였다,후스콜,집주인,다방,빨래
8,폰테마샵에서 가장 마음에 드는 아이콘은 페이스북메신져이다,폰테마샵,마음,페이스북메신져,선박
9,잡플래닛에서 높은 평가를 받은 회사의 위치를 확인한 방법은 구글맵이다,잡플래닛,평가,구글맵,스키
10,쿠팡에서 산 닭가슴살을 먹던 중 내 눈에 띈 광고는 배달의민족이다,쿠팡,닭가슴살,배달의민족,서점
11,위메프에서 본 물건들을 구매할 때 필요한 것은 모바일결제(ISP)이다,위메프,구매,모바일결제(ISP),산불
12,야놀자로 알아본 숙소를 할인 받을 수 있는 결제 방법은 토스이다,야놀자,할인,토스,예매
13,빙글에서 보는 드라마가 끝난 후 그가 한 것은 네이트이다,빙글,드라마,네이트,영상
14,여행 날을 네이버켈린더에 저장한 후 숙박 장소를 찾은 곳은 여기어때이다,네이버켈린더,장소,여기어때,충전기
15,캔디카메라로 찍은 사진을 올려 나를 유명하게 만든 곳은 피키케스트이다,캔디 카메라,유명,피키케스트,서랍
16,친구와 카카오톡에서 이야기한 옷을 볼 수 있는 곳은 지그재그이다,카카오톡,이야기,지그재그,기차
17,코레일톡으로 기차를 예약한 후 이를 친구에게 알린 방법은 밴드이다,코레일 톡,예약,밴드,외국인
18,친구들과 요기요배달을 통해 음식을 시킬 때 사용한 결제 방법은 페이코이다,요기요 배달,결제,페이코,화장실
19,다이닝코드에서 찾은 음식을 먹음직스럽게 찍기 위해 사용한 것은 카메라삼육공이다 ,다이닝코드,음식,카메라삼육공,렌즈
20,네이버클라우드 속 사진에 나온 장소를 찾도록 도와준 것은 지하철종결자이다,지하철 종결자,장소,네이버클라우드,중학교
21,카카오택시를 통해 집으로 가면서 노래를 듣기 위해 사용한 것은 멜론이다,카카오택시,노래,멜론,세탁기
22,네이버카페에 올린 분홍 색 가방을 산 곳은 쇼킹딜이다,쇼킹딜,분홍,네이버카페,상자
23,텀블러에 올라온 노란 색 필통이 검색된 곳은 구글이다,텀블러,노란,구글,게임
24,비트윈에서 알려준 애인의 생일을 챙기기 위해 내가 확인하는 것은 티몬이다 ,비트윈,생일,티몬,건조대
25,포토원더로 수정한 사진을 올려 많은 관심을 받은 곳은 카카오스토리이다,포토원더,관심,카카오스토리,저장
26,유트브 영상 속 춤으로 상을 받은 대회를 주최한 것은 네이버이다,유트브,상,네이버,토마토
27,이음을 통해 만난 그녀와 저녁을 먹고 할인에 사용한 것은 하나멤버스이다,이음,저녁,하나멤버스,칫솔
28,그는 트위터에서도 인기가 많지만 그가 가장 아끼는 것은 네이버블로그이다,트위터,인기,네이버블로그,기억
29,맥딜리버리로  시킨 음식에 대한 나의 주관적 평가를 내리는 곳은 다음카페이다,맥딜리버리,주관,다음카페,선배
30,다음웹툰을 볼 때 받지 못한 전화번호가 광고임을 알려준 것은 후후이다,다음웹툰,광고,후후,공장
31,새벽까지 프렌즈팝을 한 내가 한 것은 애니팡이다,프렌즈팝,새벽,애니팡,유행
32,와챠에서 찾을 수 없었던 영화를 보는 유일한 곳은 아프리카TV이다,와챠,영화,아프리카TV,강의
33,쿠차에서 본 자전거를 사려고 그가 편지를 쓴 곳은 엄마의 싸이월드이다,쿠차,편지,싸이월드,개미
34,네이버지도를 통해 은행을 찾아갔지만 결국 내가 사용한 것은 스마트뱅킹이다,스마트 뱅킹,은행,네이버지도,목걸이
35,동생과 라인을 통해 이야기를 우리가 한 것은 모두의마블이다,라인,동생,모두의마블,바구니
36,페이스북에서 보인 사진을 자신이 찍은 사진으로 수정하여 올린 곳은 인스타그램이다,페이스북,수정,인스타그램,가요
